Date,Open,High,Low,Close,Adj Close,Volume
1990-09-01,12.500000,12.968750,12.187500,12.250000,4.278661,92159200
1990-10-01,12.281250,12.625000,11.812500,12.250000,4.278661,99960400
1990-11-01,12.343750,12.843750,12.062500,12.656250,4.420553,86538800
1990-12-01,12.687500,13.125000,12.312500,12.937500,4.580631,78140000
1991-01-01,12.937500,13.250000,12.406250,12.906250,4.569570,94615200
1991-02-01,12.812500,14.000000,12.531250,13.781250,4.879371,120037200
1991-03-01,13.718750,14.968750,13.625000,14.625000,5.246699,91663600
1991-04-01,14.593750,15.343750,14.125000,14.875000,5.336384,99406000
1991-05-01,14.937500,15.187500,13.968750,14.562500,5.224276,106229200
1991-06-01,14.562500,14.937500,14.062500,14.531250,5.273072,77909200
1991-07-01,14.593750,15.031250,14.218750,14.843750,5.386472,78870800
1991-08-01,14.875000,14.968750,14.156250,14.562500,5.284412,83602400
1991-09-01,14.562500,14.968750,14.375000,14.875000,5.459024,69794400
1991-10-01,14.937500,15.468750,14.656250,15.250000,5.596646,88568400
1991-11-01,15.281250,15.437500,14.281250,14.656250,5.378747,78616000
1991-12-01,14.500000,15.250000,13.968750,15.218750,5.646572,96914800
1992-01-01,15.062500,15.312500,14.437500,14.562500,5.403085,106293200
1992-02-01,14.562500,14.906250,14.125000,14.281250,5.298734,81080000
1992-03-01,14.250000,14.343750,13.437500,13.687500,5.136273,89134800
1992-04-01,13.625000,15.031250,13.562500,15.000000,5.628791,96218400
1992-05-01,15.031250,16.062500,14.593750,15.156250,5.687425,103641600
1992-06-01,15.187500,15.906250,15.187500,15.468750,5.875945,82929600
1992-07-01,15.468750,15.937500,15.250000,15.875000,6.030263,81220800
1992-08-01,15.843750,16.375000,15.687500,16.062500,6.101484,81331600
1992-09-01,16.031250,16.187500,15.500000,15.968750,6.135026,76162000
1992-10-01,16.031250,16.031250,15.218750,15.312500,5.882903,69050000
1992-11-01,15.343750,15.343750,14.531250,14.875000,5.714823,76940400
1992-12-01,14.875000,15.718750,14.562500,15.281250,5.942354,84966800
1993-01-01,15.312500,15.593750,14.437500,15.281250,5.942354,98809600
1993-02-01,15.343750,16.218750,15.187500,15.906250,6.185393,96919600
1993-03-01,15.875000,16.687500,15.500000,16.531250,6.503355,95874400
1993-04-01,16.531250,17.250000,15.968750,16.500000,6.491062,102219600
1993-05-01,16.593750,16.625000,15.812500,16.375000,6.441888,87368400
1993-06-01,16.343750,16.843750,16.093750,16.531250,6.575779,101565200
1993-07-01,16.531250,16.687500,15.843750,16.406250,6.526058,79988000
1993-08-01,16.437500,16.687500,15.937500,16.343750,6.501192,83779600
1993-09-01,16.281250,16.687500,16.062500,16.375000,6.586871,88834400
1993-10-01,16.375000,16.593750,16.000000,16.343750,6.574296,76925600
1993-11-01,16.281250,16.375000,15.250000,15.687500,6.310321,89428000
1993-12-01,15.718750,16.062500,15.375000,15.781250,6.419557,93592400
1994-01-01,15.812500,16.687500,15.781250,16.625000,6.762776,104489200
1994-02-01,16.625000,16.843750,16.218750,16.218750,6.597523,78646800
1994-03-01,16.156250,16.593750,15.375000,15.718750,6.463589,105986800
