Regular Gasoline Retail Prices,,
https://www.eia.gov/outlooks/steo/realprices/,,
00:35:43 GMT+0200 (Central European Summer Time),,
Source: U.S. Energy Information Administration,,
Month,Real Values,Nominal Values
May 1990,2.32,1.03
Apr 1990,2.29,1.02
Mar 1990,2.23,0.99
Feb 1990,2.25,0.99
Jan 1990,2.27,1
Dec 1989,2.14,0.93
Nov 1989,2.21,0.96
Oct 1989,2.29,0.99
Sep 1989,2.31,0.99
Aug 1989,2.39,1.02
Jul 1989,2.46,1.06
Jun 1989,2.53,1.08
May 1989,2.56,1.09
Apr 1989,2.44,1.04
Mar 1989,2.14,0.9
Feb 1989,2.11,0.88
Jan 1989,2.09,0.87
Dec 1988,2.12,0.88
Nov 1988,2.19,0.91
Oct 1988,2.22,0.92
Sep 1988,2.27,0.94
Aug 1988,2.32,0.95
Jul 1988,2.28,0.93
Jun 1988,2.27,0.92
May 1988,2.29,0.93
Apr 1988,2.23,0.9
Mar 1988,2.16,0.87
Feb 1988,2.17,0.87
Jan 1988,2.22,0.89
Dec 1987,2.3,0.91
Nov 1987,2.35,0.93
Oct 1987,2.37,0.94
Sep 1987,2.41,0.95
Aug 1987,2.44,0.96
Jul 1987,2.39,0.94
Jun 1987,2.36,0.92
May 1987,2.34,0.91
Apr 1987,2.33,0.91
Mar 1987,2.26,0.87
Feb 1987,2.24,0.86
Jan 1987,2.13,0.82
Dec 1986,2.03,0.78
Nov 1986,2.05,0.78
Oct 1986,2.09,0.79
Sep 1986,2.17,0.82
Aug 1986,2.14,0.81
Jul 1986,2.26,0.85
Jun 1986,2.45,0.92
May 1986,2.38,0.89
Apr 1986,2.29,0.86
Mar 1986,2.51,0.94
Feb 1986,2.85,1.08
Jan 1986,3.04,1.15
Dec 1985,3.08,1.16
Nov 1985,3.11,1.17
Oct 1985,3.12,1.17
Sep 1985,3.17,1.18
Aug 1985,3.22,1.2
Jul 1985,3.25,1.21
Jun 1985,3.26,1.21
May 1985,3.25,1.2
Apr 1985,3.19,1.18
Mar 1985,3.05,1.12
Feb 1985,2.97,1.09
Jan 1985,3.03,1.1
Dec 1984,3.16,1.15
Nov 1984,3.22,1.17
Oct 1984,3.24,1.17
Sep 1984,3.23,1.17
Aug 1984,3.23,1.16
Jul 1984,3.28,1.18
Jun 1984,3.35,1.2
May 1984,3.39,1.21
Apr 1984,3.37,1.2
Mar 1984,3.31,1.17
Feb 1984,3.3,1.17
Jan 1984,3.33,1.17
Dec 1983,3.39,1.18
Nov 1983,3.45,1.2
Oct 1983,3.51,1.22
Sep 1983,3.58,1.24
Aug 1983,3.63,1.25
Jul 1983,3.64,1.25
Jun 1983,3.63,1.24
May 1983,3.6,1.23
Apr 1983,3.49,1.19
Mar 1983,3.3,1.12
Feb 1983,3.39,1.14
Jan 1983,3.51,1.18
Dec 1982,3.61,1.21
Nov 1982,3.68,1.24
Oct 1982,3.72,1.26
Sep 1982,3.77,1.27
Aug 1982,3.83,1.29
Jul 1982,3.86,1.3
Jun 1982,3.82,1.28
May 1982,3.66,1.21
Apr 1982,3.66,1.2
Mar 1982,3.82,1.25
Feb 1982,3.96,1.29
Jan 1982,4.04,1.31
Dec 1981,4.21,1.37
Nov 1981,4.24,1.37
Oct 1981,4.26,1.37
Sep 1981,4.29,1.38
Aug 1981,4.33,1.38
Jul 1981,4.38,1.38
Jun 1981,4.46,1.39
May 1981,4.53,1.4
Apr 1981,4.6,1.41
Mar 1981,4.64,1.42
Feb 1981,4.56,1.38
Jan 1981,4.32,1.3
Dec 1980,4.23,1.26
Nov 1980,4.24,1.25
Oct 1980,4.28,1.25
Sep 1980,4.35,1.26
Aug 1980,4.42,1.27
Jul 1980,4.47,1.27
Jun 1980,4.46,1.27
May 1980,4.5,1.27
Apr 1980,4.53,1.26
Mar 1980,4.54,1.25
Feb 1980,4.43,1.21
Jan 1980,4.21,1.13
Dec 1979,4.02,1.07
Nov 1979,3.98,1.04
Oct 1979,3.97,1.03
Sep 1979,3.98,1.02
Aug 1979,3.89,0.99
Jul 1979,3.77,0.95
Jun 1979,3.62,0.9
May 1979,3.43,0.84
Apr 1979,3.3,0.8
Mar 1979,3.13,0.76
Feb 1979,3.06,0.73
Jan 1979,3.03,0.72
Dec 1978,3.01,0.71
