U.S. Ending Stocks of Crude Oil Monthly
https://www.eia.gov/opendata/v1/qb.php?sdid=PET.MCRSTUS1.M
00:20:56 GMT+0200 (Central European Summer Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRSTUS1.M Thousand Barrels
Dec 1964,230057
Nov 1964,236809
Oct 1964,235233
Sep 1964,232780
Aug 1964,237912
Jul 1964,246333
Jun 1964,251230
May 1964,257322
Apr 1964,253912
Mar 1964,246863
Feb 1964,240062
Jan 1964,241007
Dec 1963,237361
Nov 1963,244387
Oct 1963,245539
Sep 1963,248261
Aug 1963,249077
Jul 1963,249962
Jun 1963,250036
May 1963,255666
Apr 1963,251391
Mar 1963,241029
Feb 1963,240396
Jan 1963,249209
Dec 1962,252011
Nov 1962,256284
Oct 1962,251719
Sep 1962,244226
Aug 1962,243588
Jul 1962,242418
Jun 1962,247740
May 1962,255676
Apr 1962,255859
Mar 1962,245632
Feb 1962,240166
Jan 1962,242444
Dec 1961,244664
Nov 1961,251719
Oct 1961,244226
Sep 1961,243588
Aug 1961,242418
Jul 1961,247740
Jun 1961,255676
May 1961,255859
Apr 1961,245632
Mar 1961,240166
Feb 1961,242444
Jan 1961,244664
Dec 1960,239800
Nov 1960,239528
Oct 1960,232990
Sep 1960,231966
Aug 1960,234091
Jul 1960,242745
Jun 1960,257301
May 1960,261312
Apr 1960,266178
Mar 1960,260923
Feb 1960,257028
Jan 1960,252206
Dec 1959,257129
Nov 1959,255953
Oct 1959,257487
Sep 1959,250996
Aug 1959,253091
Jul 1959,264994
Jun 1959,272505
May 1959,264525
Apr 1959,257564
Mar 1959,254940
Feb 1959,260040
Jan 1959,258108
Dec 1958,262730
Nov 1958,257456
Oct 1958,255345
Sep 1958,251701
Aug 1958,244810
Jul 1958,246556
Jun 1958,253550
May 1958,263105
Apr 1958,273959
Mar 1958,278534
Feb 1958,285048
Jan 1958,284539
Dec 1957,281813
Nov 1957,281769
Oct 1957,284517
Sep 1957,280469
Aug 1957,283388
Jul 1957,288241
Jun 1957,284312
May 1957,275963
Apr 1957,265796
Mar 1957,254911
Feb 1957,256344
Jan 1957,256244
Dec 1956,266014
Nov 1956,275995
Oct 1956,286560
Sep 1956,278791
Aug 1956,279944
Jul 1956,277008
Jun 1956,274491
May 1956,277497
Apr 1956,277121
Mar 1956,265683
Feb 1956,259504
Jan 1956,261592
Dec 1955,265610
Nov 1955,260707
Oct 1955,259201
Sep 1955,256269
Aug 1955,256427
Jul 1955,264601
Jun 1955,270850
May 1955,276948
Apr 1955,275232
Mar 1955,264430
Feb 1955,258630
Jan 1955,260156
Dec 1954,258385
Nov 1954,264566
Oct 1954,267346
Sep 1954,272502
Aug 1954,277929
Jul 1954,282665
Jun 1954,282888
May 1954,280050
Apr 1954,278055
Mar 1954,269620
Feb 1954,264629
Jan 1954,268531
Dec 1953,274445
Nov 1953,280817
Oct 1953,285490
Sep 1953,287694
Aug 1953,283666
Jul 1953,282915
Jun 1953,281744
May 1953,278575
Apr 1953,278943
Mar 1953,275665
Feb 1953,273589
Jan 1953,272250
Dec 1952,271928
Nov 1952,267852
Oct 1952,269776
Sep 1952,264723
Aug 1952,264368
Jul 1952,275951
Jun 1952,285964
May 1952,290813
Apr 1952,270679
Mar 1952,259126
Feb 1952,255900
Jan 1952,254007
Dec 1951,255783
Nov 1951,261100
Oct 1951,262266
Sep 1951,254900
Aug 1951,254276
Jul 1951,250847
Jun 1951,248170
May 1951,248418
Apr 1951,243180
Mar 1951,233824
Feb 1951,235247
Jan 1951,243107
Dec 1950,248463
Nov 1950,249525
Oct 1950,246424
Sep 1950,242311
Aug 1950,237393
Jul 1950,240270
Jun 1950,242287
May 1950,239877
Apr 1950,244605
Mar 1950,241230
Feb 1950,243750
Jan 1950,246610
Dec 1949,253356
Nov 1949,256010
Oct 1949,250809
Sep 1949,251689
Aug 1949,260585
Jul 1949,267586
Jun 1949,274691
May 1949,273912
Apr 1949,272520
Mar 1949,269341
Feb 1949,265216
Jan 1949,258648
Dec 1948,256254
Nov 1948,250243
Oct 1948,243972
Sep 1948,237302
Aug 1948,231954
Jul 1948,231955
Jun 1948,231412
May 1948,231318
Apr 1948,234506
Mar 1948,234164
Feb 1948,231419
Jan 1948,229842
Dec 1947,224929
Nov 1947,225462
Oct 1947,226666
Sep 1947,225258
Aug 1947,228523
Jul 1947,230974
Jun 1947,237278
May 1947,237768
Apr 1947,235710
Mar 1947,228981
Feb 1947,225121
Jan 1947,223848
Dec 1946,224473
Nov 1946,226453
Oct 1946,222177
Sep 1946,222417
Aug 1946,224157
Jul 1946,224351
Jun 1946,223140
May 1946,221592
Apr 1946,222480
Mar 1946,221400
Feb 1946,227220
Jan 1946,223442
Dec 1945,218763
Nov 1945,218916
Oct 1945,221246
Sep 1945,220319
Aug 1945,215135
Jul 1945,216638
Jun 1945,218218
May 1945,223151
Apr 1945,224229
Mar 1945,223988
Feb 1945,220221
Jan 1945,221737
Dec 1944,226770
Nov 1944,229241
Oct 1944,229987
Sep 1944,229337
Aug 1944,230192
Jul 1944,229689
Jun 1944,235749
May 1944,241430
Apr 1944,241167
Mar 1944,242773
Feb 1944,248271
Jan 1944,248097
Dec 1943,249404
Nov 1943,251449
Oct 1943,248702
Sep 1943,245727
Aug 1943,247629
Jul 1943,250103
Jun 1943,251200
May 1943,254089
Apr 1943,253143
Mar 1943,253118
Feb 1943,248004
Jan 1943,245762
Dec 1942,245754
Nov 1942,244824
Oct 1942,248229
Sep 1942,250210
Aug 1942,254831
Jul 1942,255976
Jun 1942,262313
May 1942,265745
Apr 1942,269195
Mar 1942,273569
Feb 1942,272073
Jan 1942,264074
Dec 1941,257678
Nov 1941,253882
Oct 1941,253604
Sep 1941,256432
Aug 1941,260562
Jul 1941,266263
Jun 1941,269786
May 1941,273352
Apr 1941,277814
Mar 1941,278156
Feb 1941,276318
Jan 1941,251795
Dec 1940,276615
Nov 1940,251449
Oct 1940,248702
Sep 1940,245727
Aug 1940,247629
Jul 1940,250097
Jun 1940,251200
May 1940,254163
Apr 1940,253143
Mar 1940,253118
Feb 1940,248004
Jan 1940,245762
Dec 1939,238910
Nov 1939,247691
Oct 1939,244924
Sep 1939,248640
Aug 1939,252732
Jul 1939,284945
Jun 1939,287521
May 1939,292579
Apr 1939,293763
Mar 1939,292169
Feb 1939,289776
Jan 1939,288702
Dec 1938,291425
Nov 1938,290535
Oct 1938,294565
Sep 1938,300291
Aug 1938,303845
Jul 1938,306970
Jun 1938,310729
May 1938,317021
Apr 1938,324886
Mar 1938,326194
Feb 1938,322639
Jan 1938,321963
Dec 1937,306826
Nov 1937,306457
Oct 1937,309165
Sep 1937,310271
Aug 1937,311440
Jul 1937,309231
Jun 1937,309313
May 1937,308719
Apr 1937,304706
Mar 1937,297896
Feb 1937,290372
Jan 1937,287159
Dec 1936,288579
Nov 1936,288998
Oct 1936,292271
Sep 1936,295693
Aug 1936,301757
Jul 1936,306390
Jun 1936,311046
May 1936,315169
Apr 1936,315389
Mar 1936,313189
Feb 1936,310812
Jan 1936,313081
Dec 1935,314855
Nov 1935,315779
Oct 1935,317955
Sep 1935,320880
Aug 1935,325106
Jul 1935,329459
Jun 1935,334841
May 1935,338619
Apr 1935,339823
Mar 1935,339179
Feb 1935,337349
Jan 1935,338199
Dec 1934,337254
Nov 1934,341403
Oct 1934,346800
Sep 1934,349407
Aug 1934,351092
Jul 1934,355525
Jun 1934,357451
May 1934,355883
Apr 1934,354350
Mar 1934,354067
Feb 1934,351641
Jan 1934,353642
Dec 1933,355312
Nov 1933,355199
Oct 1933,356849
Sep 1933,359904
Aug 1933,359945
Jul 1933,355263
Jun 1933,352756
May 1933,348103
Apr 1933,339140
Mar 1933,344253
Feb 1933,337107
Jan 1933,337483
Dec 1932,339715
Nov 1932,348432
Oct 1932,351893
Sep 1932,354104
Aug 1932,354846
Jul 1932,358308
Jun 1932,363696
May 1932,369072
Apr 1932,370981
Mar 1932,371050
Feb 1932,368353
Jan 1932,368302
Dec 1931,370919
Nov 1931,368585
Oct 1931,367171
Sep 1931,370822
Aug 1931,381356
Jul 1931,395195
Jun 1931,397304
May 1931,398972
Apr 1931,400439
Mar 1931,401515
Feb 1931,405199
Jan 1931,409227
Dec 1930,411882
Nov 1930,517021
Oct 1930,518736
Sep 1930,520900
Aug 1930,526785
Jul 1930,530725
Jun 1930,531135
May 1930,533733
Apr 1930,535850
Mar 1930,538229
Feb 1930,539210
Jan 1930,534938
Dec 1929,535514
Nov 1929,539837
Oct 1929,545186
Sep 1929,543557
Aug 1929,538982
Jul 1929,529983
Jun 1929,523104
May 1929,518980
Apr 1929,516161
Mar 1929,512989
Feb 1929,505920
Jan 1929,497525
Dec 1928,491847
Nov 1928,488193
Oct 1928,488349
Sep 1928,486930
Aug 1928,488934
Jul 1928,490298
Jun 1928,491938
May 1928,492473
Apr 1928,492419
Mar 1928,490818
Feb 1928,486199
Jan 1928,481712
Dec 1927,473379
Nov 1927,472896
Oct 1927,466839
Sep 1927,462931
Aug 1927,456501
Jul 1927,448919
Jun 1927,440438
May 1927,431590
Apr 1927,423856
Mar 1927,415814
Feb 1927,410837
Jan 1927,405296
Dec 1926,403338
Nov 1926,394640
Oct 1926,395366
Sep 1926,395835
Aug 1926,397880
Jul 1926,400312
Jun 1926,403885
May 1926,409562
Apr 1926,410700
Mar 1926,420630
Feb 1926,420531
Jan 1926,422439
Dec 1925,431646
Nov 1925,433468
Oct 1925,433342
Sep 1925,433408
Aug 1925,431202
Jul 1925,431938
Jun 1925,431067
May 1925,430075
Apr 1925,423656
Mar 1925,420636
Feb 1925,420311
Jan 1925,419364
Dec 1924,399792
Nov 1924,406450
Oct 1924,409030
Sep 1924,411524
Aug 1924,407797
Jul 1924,401344
Jun 1924,397039
May 1924,393151
Apr 1924,387998
Mar 1924,352220
Feb 1924,378774
Jan 1924,375415
Dec 1923,334774
Nov 1923,332887
Oct 1923,323789
Sep 1923,314493
Aug 1923,307100
Jul 1923,299368
Jun 1923,290252
May 1923,279272
Apr 1923,270155
Mar 1923,264899
Feb 1923,260717
Jan 1923,258197
Dec 1922,264578
Nov 1922,265017
Oct 1922,265073
Sep 1922,263761
Aug 1922,262707
Jul 1922,261395
Jun 1922,255817
May 1922,247093
Apr 1922,235962
Mar 1922,221588
Feb 1922,208851
Jan 1922,196228
Dec 1921,185623
Nov 1921,178260
Oct 1921,174149
Sep 1921,172874
Aug 1921,169682
Jul 1921,168821
Jun 1921,162463
May 1921,155267
Apr 1921,146399
Mar 1921,139499
Feb 1921,132222
Jan 1921,125589
Dec 1920,136213
Nov 1920,136285
Oct 1920,134360
Sep 1920,134272
Aug 1920,132112
Jul 1920,131229
Jun 1920,128526
May 1920,128618
Apr 1920,129108
Mar 1920,130099
Feb 1920,131099
Jan 1920,132124
