U.S. Exports of Crude Oil Monthly
https://www.eia.gov/opendata/v1/qb.php?sdid=PET.MCREXUS1.M
00:27:02 GMT+0200 (Central European Summer Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCREXUS1.M Thousand Barrels
Jan 1990,4084
Dec 1989,7645
Nov 1989,3591
Oct 1989,1882
Sep 1989,961
Aug 1989,5007
Jul 1989,2144
Jun 1989,7300
May 1989,4051
Apr 1989,4184
Mar 1989,4846
Feb 1989,5838
Jan 1989,4234
Dec 1988,4006
Nov 1988,4429
Oct 1988,5157
Sep 1988,3573
Aug 1988,4715
Jul 1988,5765
Jun 1988,4128
May 1988,4285
Apr 1988,3433
Mar 1988,6598
Feb 1988,4226
Jan 1988,6399
Dec 1987,6809
Nov 1987,4907
Oct 1987,2592
Sep 1987,3478
Aug 1987,4380
Jul 1987,4616
Jun 1987,3468
May 1987,2125
Apr 1987,7409
Mar 1987,4645
Feb 1987,7940
Jan 1987,2595
Dec 1986,4917
Nov 1986,3441
Oct 1986,4673
Sep 1986,4829
Aug 1986,7222
Jul 1986,2021
Jun 1986,7206
May 1986,3049
Apr 1986,2829
Mar 1986,6577
Feb 1986,4523
Jan 1986,4918
Dec 1985,6105
Nov 1985,8593
Oct 1985,3820
Sep 1985,5645
Aug 1985,7479
Jul 1985,4772
Jun 1985,6766
May 1985,7747
Apr 1985,7069
Mar 1985,5858
Feb 1985,6181
Jan 1985,4478
Dec 1984,5737
Nov 1984,6061
Oct 1984,4371
Sep 1984,4846
Aug 1984,5886
Jul 1984,3341
Jun 1984,6665
May 1984,6782
Apr 1984,5147
Mar 1984,7304
Feb 1984,5355
Jan 1984,4739
Dec 1983,2937
Nov 1983,5567
Oct 1983,4336
Sep 1983,5315
Aug 1983,5333
Jul 1983,4494
Jun 1983,4306
May 1983,8688
Apr 1983,2630
Mar 1983,5379
Feb 1983,7338
Jan 1983,3625
Dec 1982,5970
Nov 1982,7859
Oct 1982,8384
Sep 1982,5524
Aug 1982,9419
Jul 1982,7105
Jun 1982,2819
May 1982,8111
Apr 1982,5234
Mar 1982,9950
Feb 1982,8521
Jan 1982,7383
Dec 1981,5857
Nov 1981,8338
Oct 1981,6996
Sep 1981,5813
Aug 1981,6320
Jul 1981,7976
Jun 1981,3698
May 1981,9679
Apr 1981,5931
Mar 1981,6519
Feb 1981,5543
Jan 1981,10496
Dec 1980,10620
Nov 1980,8669
Oct 1980,9586
Sep 1980,9647
Aug 1980,2412
Jul 1980,7367
Jun 1980,10960
May 1980,10097
Apr 1980,5770
Mar 1980,10218
Feb 1980,9614
Jan 1980,9975
Dec 1979,6673
Nov 1979,7925
Oct 1979,5537
Sep 1979,5241
Aug 1979,7592
Jul 1979,7579
Jun 1979,7038
May 1979,5314
Apr 1979,7790
Mar 1979,11458
Feb 1979,8076
Jan 1979,5484
Dec 1978,7766
Nov 1978,6533
Oct 1978,8418
Sep 1978,7536
Aug 1978,5636
Jul 1978,4276
Jun 1978,5851
May 1978,3834
Apr 1978,2749
Mar 1978,1855
Feb 1978,226
Jan 1978,3048
Dec 1977,2130
Nov 1977,1355
Oct 1977,2645
Sep 1977,2719
Aug 1977,1145
Jul 1977,1646
Jun 1977,292
May 1977,2760
Apr 1977,505
Mar 1977,995
Feb 1977,1651
Jan 1977,412
Dec 1976,1052
Nov 1976,900
Oct 1976,563
Sep 1976,0
Aug 1976,380
Jul 1976,0
Jun 1976,0
May 1976,1
Apr 1976,0
Mar 1976,45
Feb 1976,0
Jan 1976,0
Dec 1975,0
Nov 1975,0
Oct 1975,0
Sep 1975,0
Aug 1975,0
Jul 1975,0
Jun 1975,0
May 1975,0
Apr 1975,19
Mar 1975,349
Feb 1975,942
Jan 1975,836
Dec 1974,0
Nov 1974,0
Oct 1974,0
Sep 1974,0
Aug 1974,0
Jul 1974,0
Jun 1974,44
May 1974,200
Apr 1974,15
Mar 1974,0
Feb 1974,281
Jan 1974,534
Dec 1973,177
Nov 1973,0
Oct 1973,0
Sep 1973,160
Aug 1973,0
Jul 1973,232
Jun 1973,0
May 1973,128
Apr 1973,0
Mar 1973,0
Feb 1973,0
Jan 1973,0
Dec 1972,0
Nov 1972,0
Oct 1972,0
Sep 1972,0
Aug 1972,0
Jul 1972,0
Jun 1972,0
May 1972,0
Apr 1972,187
Mar 1972,0
Feb 1972,0
Jan 1972,0
Dec 1971,0
Nov 1971,0
Oct 1971,36
Sep 1971,143
Aug 1971,0
Jul 1971,0
Jun 1971,0
May 1971,8
Apr 1971,313
Mar 1971,1
Feb 1971,2
Jan 1971,0
Dec 1970,746
Nov 1970,1616
Oct 1970,1962
Sep 1970,0
Aug 1970,11
Jul 1970,97
Jun 1970,302
May 1970,0
Apr 1970,94
Mar 1970,70
Feb 1970,0
Jan 1970,93
Dec 1969,101
Nov 1969,240
Oct 1969,162
Sep 1969,83
Aug 1969,144
Jul 1969,0
Jun 1969,1
May 1969,216
Apr 1969,93
Mar 1969,176
Feb 1969,220
Jan 1969,0
Dec 1968,94
Nov 1968,402
Oct 1968,111
Sep 1968,76
Aug 1968,86
Jul 1968,2
Jun 1968,226
May 1968,87
Apr 1968,144
Mar 1968,41
Feb 1968,283
Jan 1968,250
Dec 1967,54
Nov 1967,124
Oct 1967,1421
Sep 1967,6033
Aug 1967,8188
Jul 1967,8526
Jun 1967,1830
May 1967,0
Apr 1967,251
Mar 1967,87
Feb 1967,0
